Program Name,@ 25 hours a week,Cost,Syllabus
A+ Network+ And MCSA Desktop Certification Preparation,38 weeks,"$8,510",<a href='https://aolccbc.com/programs/a_network_and_microsoft_desktop_certification_preparation/a_network_and_microsoft_desktop_certification_preparation_programdata.json'>Info Sheet</a>
Accounting Administrator With Sage,40 weeks,"$11,559",<a href='https://aolccbc.com/programs/accounting_administrator_with_sage/accounting_administrator_with_sage_programdata.json'>Info Sheet</a>
Accounting And Business Technology,45 weeks,"$12,729",<a href='https://aolccbc.com/programs/accounting_and_business_technology/accounting_and_business_technology_programdata.json'>Info Sheet</a>
Accounting And Payroll Administrator,55 weeks,"$15,180",<a href='https://aolccbc.com/programs/accounting_and_payroll_administrator/accounting_and_payroll_administrator_programdata.json'>Info Sheet</a>
Accounting Bookkeeper,33 weeks,"$8,707",<a href='https://aolccbc.com/programs/accounting_bookkeeper/accounting_bookkeeper_programdata.json'>Info Sheet</a>
Accounting Clerk,23 weeks,"$6,452",<a href='https://aolccbc.com/programs/accounting_clerk/accounting_clerk_programdata.json'>Info Sheet</a>
Addictions Worker,15 weeks,"$2,964",<a href='https://aolccbc.com/programs/addictions_worker/addictions_worker_programdata.json'>Info Sheet</a>
Administrative Assistant,39 weeks,"$10,097",<a href='https://aolccbc.com/programs/administrative_assistant/administrative_assistant_programdata.json'>Info Sheet</a>
Business Administration,7 weeks,"$17,893",<a href='https://aolccbc.com/programs/business_administration/business_administration_programdata.json'>Info Sheet</a>
Business Administration Co-Op,8 weeks,"$22,293",<a href='https://aolccbc.com/programs/business_administration_coop/business_administration_coop_programdata.json'>Info Sheet</a>
Business Management,31 weeks,"$9,329",<a href='https://aolccbc.com/programs/business_management/business_management_programdata.json'>Info Sheet</a>
Business Office Skills,43 weeks,"$11,409",<a href='https://aolccbc.com/programs/business_office_skills/business_office_skills_programdata.json'>Info Sheet</a>
Business Receptionist,28 weeks,"$7,135",<a href='https://aolccbc.com/programs/business_receptionist/business_receptionist_programdata.json'>Info Sheet</a>
Business Service Essentials Co-Op,54 weeks,"$10,752",<a href='https://aolccbc.com/programs/business_service_essentials_coop/business_service_essentials_coop_programdata.json'>Info Sheet</a>
Call Centre Customer Representative,35 weeks,"$9,627",<a href='https://aolccbc.com/programs/call_centre_customer_representative/call_centre_customer_representative_programdata.json'>Info Sheet</a>
Community Service Worker,42 weeks,"$11,630",<a href='https://aolccbc.com/programs/community_service_worker/community_service_worker_programdata.json'>Info Sheet</a>
Community Service Worker And Addictions Worker,58 weeks,"$14,594",<a href='https://aolccbc.com/programs/community_service_worker_and_addictions_worker/community_service_worker_and_addictions_worker_programdata.json'>Info Sheet</a>
Computer Service Technician,30 weeks,"$5,822",<a href='https://aolccbc.com/programs/computer_service_technician_c/computer_service_technician_d_programdata.json'>Info Sheet</a>
Computer Service Technician,51 weeks,"$12,167",<a href='https://aolccbc.com/programs/computer_service_technician_d/computer_service_technician_c_programdata.json'>Info Sheet</a>
Computerized Office Procedures,29 weeks,"$7,132",<a href='https://aolccbc.com/programs/computerized_office_procedures/computerized_office_procedures_programdata.json'>Info Sheet</a>
Conference And Event Planner,51 weeks,"$14,474",<a href='https://aolccbc.com/programs/conference_and_event_planner/conference_and_event_planner_programdata.json'>Info Sheet</a>
Customer Service Representative,23 weeks,"$6,271",<a href='https://aolccbc.com/programs/customer_service_representative/customer_service_representative_programdata.json'>Info Sheet</a>
English As A Second Language,16 weeks,$850,<a href='https://aolccbc.com/programs/english_as_a_second_language/english_as_a_second_language_programdata.json'>Info Sheet</a>
Entrepreneurial Business Applications,46 weeks,"$12,541",<a href='https://aolccbc.com/programs/entrepreneurial_business_applications/entrepreneurial_business_applications_programdata.json'>Info Sheet</a>
Executive Assistant,53 weeks,"$14,334",<a href='https://aolccbc.com/programs/executive_assistant/executive_assistant_programdata.json'>Info Sheet</a>
Graphic Designer,55 weeks,"$16,396",<a href='https://aolccbc.com/programs/graphic_designer/graphic_designer_programdata.json'>Info Sheet</a>
Human Resources Administration,32 weeks,"$8,468",<a href='https://aolccbc.com/programs/human_resources_administration/human_resources_administration_programdata.json'>Info Sheet</a>
Marketing Administrative Assistant,38 weeks,"$10,655",<a href='https://aolccbc.com/programs/marketing_administrative_assistant/marketing_administrative_assistant_programdata.json'>Info Sheet</a>
Marketing Coordinator,48 weeks,"$14,242",<a href='https://aolccbc.com/programs/marketing_coordinator/marketing_coordinator_programdata.json'>Info Sheet</a>
Medical Administrative Assistant,44 weeks,"$10,875",<a href='https://aolccbc.com/programs/medical_administrative_assistant/medical_administrative_assistant_programdata.json'>Info Sheet</a>
Medical Office Assistant,51 weeks,"$13,273",<a href='https://aolccbc.com/programs/medical_office_assistant/medical_office_assistant_programdata.json'>Info Sheet</a>
Medical Office Assistant with Unit Clerk,66 weeks,"$15,465",<a href='https://aolccbc.com/programs/medical_office_assistant_with_unit_clerk/medical_office_assistant_with_unit_clerk_programdata.json'>Info Sheet</a>
Microsoft Certified Solutions Associate Server Cert,21 weeks,"$5,624",<a href='https://aolccbc.com/programs/microsoft_certified_solutions_associate_server_certification/microsoft_certified_solutions_associate_server_certification_programdata.json'>Info Sheet</a>
Network Administrator,88 weeks,"$20,916",<a href='https://aolccbc.com/programs/network_administrator/network_administrator_programdata.json'>Info Sheet</a>
Office Administration,54 weeks,"$14,251",<a href='https://aolccbc.com/programs/office_administration/office_administration_programdata.json'>Info Sheet</a>
Office Administration Assistant,24 weeks,"$6,296",<a href='https://aolccbc.com/programs/office_administration_assistant/office_administration_assistant_programdata.json'>Info Sheet</a>
Office Clerk,22 weeks,"$5,487",<a href='https://aolccbc.com/programs/office_clerk/office_clerk_programdata.json'>Info Sheet</a>
Payroll Administrator,38 weeks,"$10,882",<a href='https://aolccbc.com/programs/payroll_administrator/payroll_administrator_programdata.json'>Info Sheet</a>
Payroll Clerk,27 weeks,"$7,656",<a href='https://aolccbc.com/programs/payroll_clerk/payroll_clerk_programdata.json'>Info Sheet</a>
PC Support Specialist,59 weeks,"$13,604",<a href='https://aolccbc.com/programs/pc_support_specialist/pc_support_specialist_programdata.json'>Info Sheet</a>
Project Administration,51 weeks,"$14,175",<a href='https://aolccbc.com/programs/project_administration/project_administration_programdata.json'>Info Sheet</a>
Sales Associate,21 weeks,"$5,651",<a href='https://aolccbc.com/programs/sales_associate/sales_associate_programdata.json'>Info Sheet</a>
Sales Professional,43 weeks,"$11,787",<a href='https://aolccbc.com/programs/sales_professional/sales_professional_programdata.json'>Info Sheet</a>
Software And Web Developer,48 weeks,"$17,063",<a href='https://aolccbc.com/programs/software_and_web_developer/software_and_web_developer_programdata.json'>Info Sheet</a>
Web Designer,60 weeks,"$17,114",<a href='https://aolccbc.com/programs/web_designer/web_designer_programdata.json'>Info Sheet</a>
Web Developer ,30 weeks,"$10,774",<a href='https://aolccbc.com/programs/web_developer/web_developer_programdata.json'>Info Sheet</a>
