Program Name, @ 25 hours a week,Cost,
A+ NETWORK+ AND MDAA DESKTOP CERT. PREP,26 weeks,8864,a_network_mcsa_desktop_certification_prep.pdf
ACCOUNTING ADMINISTRATOR DIPLOMA with SAGE,31 weeks,11913,Accounting-Administrator-with-SAGE-Diploma-Outline-BC.pdf
ACCOUNTING AND BUSINESS TECHNOLOGY DIPLOMA,35 weeks,13083,accounting_business_technology_diploma.pdf
ACCOUNTING AND PAYROLL ADMINISTRATOR DIPLOMA,49 Weeks,15284,BC-Final-Accounting-and-Payroll-Administrator-Diploma.pdf
ACCOUNTING BOOKKEEPER CERTIFICATE,25 weeks,9061,Accounting-Bookkeeper-Certificate-BC.pdf
ACCOUNTING CLERK CERTIFICATE,25 weeks,6906,accounting_clerk_outline.pdf
ADDICTIONS WORKER,12 weeks,3433,BC-Final-Addictions-Worker-Outline.pdf
ADMINISTRATIVE ASSISTANT DIPLOMA,30 weeks,10451,administrative_assistant_diploma.pdf
BUSINESS ADMINISTRATION DIPLOMA,48 weeks,18247,business_administration_outline.pdf
BUSINESS MANAGEMENT CERTIFICATE,24 weeks,9683,business_management_outline.pdf
BUSINESS OFFICE SKILLS DIPLOMA,32 weeks,11763,business_office_skills_diploma.pdf
BUSINESS RECEPTIONIST CERTIFICATE,26 weeks,7489,business_receptionist_outline.pdf
CALL CENTRE CUSTOMER REPRESENTATIVE DIPLOMA,27 weeks,9981,call_centre_customer_representative_diploma.pdf
COMMUNITY SERVICE WORKER DIPLOMA,34 weeks,12724,community_service_worker_outline.pdf
COMMUNITY SERVICE WORKER WITH ADDICTIONS DIPLOMA,46 weeks,15803,bc_final_csw_with_aw_outline.pdf
COMPUTER SERVICE TECHNICIAN CERTIFICATE,23 weeks,5822,bc_final_computer_service_technician_cert_outline.pdf
COMPUTER SERVICE TECHNICIAN DIPLOMA,36 weeks,12521,BC_Final_Computer_Service_Technician_Diploma.pdf
COMPUTERIZED OFFICE PROCEDURES CERTIFICATE,22 weeks,7486,computerized_office_procedures_outline.pdf
CONFERENCE AND EVENT PLANNER DIPLOMA,39 weeks,14828,BC-Final-Conference-and-Event-Planner-Outline.pdf
CUSTOMER SERVICE REPRESENTATIVE CERTIFICATE,17 weeks,6625,customer_service_representative_outline.pdf
ENTREPRENEURIAL BUSINESS APPLICATIONS DIPLOMA,35 weeks,12895,entrepreneurial_business_applications_outline-1.pdf
EXECUTIVE ASSISTANT DIPLOMA,40 weeks,14688,executive_assistant_outline.pdf
GRAPHIC DESIGNER,42 weeks,16750,AOLCC_Graphic_Designer_Program_Outline-OCT_2018.pdf
HUMAN RESOURCES ADMINISTRATION CERTIFICATE,25 weeks,8822,human_resources_administration_outline.pdf
MARKETING ADMINISTRATIVE ASSISTANT CERTIFICATE,29 weeks,11009,marketing_administrative_assistant_outline.pdf
MARKETING COORDINATOR DIPLOMA,36 weeks,14596,marketing_coordinator_outline-1.pdf
MCSA: SERVER CERTIFICATION PREPARATION,11 weeks,4208,MCSA_Windows_Server_Certification_Preparation_Program_Outline.pdf
MEDICAL ADMINISTRATIVE ASSISTANT CERTIFICATE,34 weeks,11229,medical_administrative_assistant_outline.pdf
MEDICAL OFFICE ASSISTANT DIPLOMA,42 weeks,14487,medical_office_assistant_outline.pdf
MEDICAL OFFICE ASSISTANT DIPLOMA W/ UNIT CLERK,52 weeks,16809,moa_with_huc.pdf
NETWORK ADMINISTRATOR DIPLOMA (SERVER 2016),61 weeks,21270,BC_Final_Network_Administrator_Outline.pdf
OFFICE ADMINISTRATION ASSISTANT CERTIFICATE,19 weeks,6650,office_administration_assistant_outline.pdf
OFFICE ADMINISTRATION DIPLOMA,40 weeks,14605,office_administration_diploma.pdf
OFFICE CLERK CERTIFICATE,16 weeks,5841,office_clerk_certificate.pdf
PAYROLL ADMINISTRATOR CERTIFICATE,29 weeks,11236,payroll_administrator_outline-1.pdf
PAYROLL CLERK CERTIFICATE,21 weeks,8010,payroll_clerk_certificate.pdf
PC SUPPORT SPECIALIST DIPLOMA,42 weeks,13958,BC_Final_PC_Support_Specialist_Outline.pdf
PITMAN ENGLISH 1 MONTH,4 weeks,995,"pteng01-course_outline2.pdf"""
PITMAN ENGLISH 3 MONTH,12 weeks,2595,pteng03-course_outline.pdf
PROJECT ADMINISTRATION DIPLOMA,38 weeks,14529,BC-Final-Project-Administration-Outline.pdf
SALES ASSOCIATE CERTIFICATE,15 weeks,6005,sales_associate_outline.pdf
SALES PROFESSIONAL DIPLOMA,32 weeks,12141,sales_professional_outline.pdf
SOFTWARE AND WEB DEVELOPER,40 weeks,17417,software-and-web%20developer-program-outline.pdf
WEB DESIGNER DIPLOMA,45 weeks,17468,BC-Final-Web-Designer-Outline.pdf
WEB DEVELOPER,25 weeks,11128,aolcc_-_web_developer_diploma_-_program_outline_bc.pdf
